===== Starting battle of <AnybodyThere> vs <PatientBot> with memory tape size: 22 =====

[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | -1 | 1 | 1 | -1 | -1 | 54< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | -1 | 1 | 1 | -1 | -1 | 55< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | 1 | -1 | -1 | 56< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | -1 | 1 | 1 | -1 | -1 | 57< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | -1 | 58< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | -1 | 59< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | -1 | 60< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1 | 1 | 1 | -1 | -1 | 61< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | 1 | -1 | -1 | 62< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | 1 | -1 | -1 | 63< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | 1 | 1 | -1 | -1 | 64< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | 1 | 1 | -1 | -1 | 65< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | 1 | -1 | -1 | 66< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 1 | 1 | -1 | -1 | 67< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | 1 | 1 | -1 | -1 | 68< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >2 | 1 | 1 | -1 | -1 | 69< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 1 | 1 | -1 | -1 | 70< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 1 | 1 | -1 | -1 | 71< | 128 ]
