===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 1 | -4 | 4< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-48 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 3< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-48 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 3< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-49 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 2< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-49 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 2< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-50 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 1< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-50 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 1< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-51 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-51 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-52 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-52 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-53 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-53 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-54 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-54 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-55 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-55 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-56 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-56 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 0< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-57 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-57 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-58 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -5< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-58 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -5< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-59 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-59 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -3< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-60 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -2< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-60 | -127 ]
