===== Starting battle of <SternBot> vs <BeatYouMate> with memory tape size: 14 =====

[ 102< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >53 ]
[ 102< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >53 ]
[ 101< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >52 ]
[ 101< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >52 ]
[ 100< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >51 ]
[ 100< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >51 ]
[ 99< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >50 ]
[ 99< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >50 ]
[ 98< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >49 ]
[ 98< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >49 ]
[ 97< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >48 ]
[ 97< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >48 ]
[ 96< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >47 ]
[ 96< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >47 ]
[ 95< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >46 ]
[ 95< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >46 ]
[ 94< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >45 ]
[ 94< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >45 ]
[ 93< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >44 ]
[ 93< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >44 ]
[ 92< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >43 ]
[ 92< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >43 ]
[ 91< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >42 ]
[ 91< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >42 ]
[ 90< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >41 ]
[ 90< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >41 ]
[ 89< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >40 ]
[ 89< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >40 ]
[ 88< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >39 ]
[ 88< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >39 ]
[ 87< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >38 ]
